title,publisher,price,pubdate
"<b>파이썬</b> (비전공자를위한 <b>파이썬</b> 기초 입문서,한 권으로 끝내는)",에듀웨이,18000,20190525
모두의 <b>파이썬</b> (20일 만에 배우는 프로그래밍 기초),길벗,12000,20181009
<b>파이썬</b>으로 데이터 주무르기 (독특한 예제를 통해 배우는 데이터 분석 입문),비제이퍼블릭,27500,20171229
혼자 공부하는 <b>파이썬</b> (<b>파이썬</b> 최신 버전 반영),한빛미디어,18000,20190610
Do it! 점프 투 <b>파이썬</b>,이지스퍼블리싱,18800,20190620
"머신 러닝 교과서 with <b>파이썬</b>, 사이킷런, 텐서플로",길벗,33000,20190524
모두의 데이터 분석 with <b>파이썬</b> (실생활 예제로 시작하는 데이터 분석 첫걸음),길벗,18000,20190425
"<b>파이썬</b> 라이브러리를 활용한 데이터 분석 (영화 평점, 이름 통계, 선거 데이터 등 실사례 사용)",한빛미디어,35000,20190520
"<b>파이썬</b> 라이브러리를 활용한 머신러닝 (번역개정판,사이킷런 핵심 개발자가 쓴 머신러닝과 데이터 과학 실무서)",한빛미디어,32000,20190329
<b>파이썬</b> 코딩 도장,길벗,25000,20181130
<b>파이썬</b> 웹프로그래밍 실전편 (Django장고를 활용한 쉽고 빠른 웹 개발),한빛미디어,32000,20191101
"<b>파이썬</b> 자료구조와 알고리즘 (기초 튼튼, 핵심 쏙쏙, 실력 쑥쑥)",한빛미디어,22000,20190703
<b>파이썬</b>으로 배우는 알고리즘 트레이딩 (내 손으로 만드는 자동 주식 거래 시스템),위키북스,40000,20190307
게임으로 배우는 <b>파이썬</b>,영진닷컴,17000,20190329
<b>파이썬</b> 웹 프로그래밍 (Django장고로 배우는 쉽고 빠른 웹 개발),한빛미디어,22000,20180817
<b>파이썬</b> 날코딩으로 알고 짜는 딥러닝 (프레임워크 없이 단층 퍼셉트론에서 GAN까지),한빛미디어,45000,20190715
<b>파이썬</b>으로 웹 크롤러 만들기 (초간단 나만의 웹 크롤러로 원하는 데이터를 가져오는 방법),한빛미디어,25000,20190329
퀀트 전략 <b>파이썬</b>으로 세워라 (누구나 시작할 수 있는 <b>파이썬</b> 퀀트 투자 첫 단추),비제이퍼블릭,24000,20190430
"데이터 분석 실무 with <b>파이썬</b> (직장인을 위한, 마케팅, 영업, 기획 실무 담당자를 위한 데이터 분석의 기술)",위키북스,27000,20200103
"<b>파이썬</b>을 활용한 머신러닝 쿡북 (전처리에서 딥러닝까지, 팬더스와 사이킷런 중심의 실전 문제 해결 200선)",한빛미디어,33000,20190901
<b>파이썬</b> 머신러닝 판다스 데이터 분석,정보문화사,25000,20190615
윤성우의 열혈 <b>파이썬</b> 중급편,오렌지미디어,16000,20191029
C#과 <b>파이썬</b>을 활용한 OpenCV 4 프로그래밍 (컴퓨터 비전 기초 이론부터 머신러닝을 활용한 영상 처리 프로젝트까지),위키북스,35000,20190813
"<b>파이썬</b>을 이용한 머신러닝, 딥러닝 실전 개발 입문 (웹 크롤링과 스크레이핑부터 머신러닝ㆍ딥러닝까지 체계적으로 배우기)",위키북스,30000,20191210
핵고수 <b>파이썬</b>으로 다시 배우는 핵심 고등 수학 (수포자 프로그래머를 위한 손에 잡히는 기초 수학),위키북스,25000,20191107
<b>파이썬</b>으로 배우는 응용 텍스트 분석 (언어 인식 데이터 제품 개발을 위한 머신러닝),제이펍,27000,20191129
"<b>파이썬</b>으로 배우는 통계학 교과서 (기초 이론부터, 모델, 머신러닝까지)",한빛미디어,30000,20191122
이토록 쉬운 딥러닝을 위한 기초수학 with <b>파이썬</b>,루비페이퍼,28000,20190813
<b>파이썬</b> 클린 코드 (유지보수가 쉬운 <b>파이썬</b> 코드를 만드는 비결),터닝포인트,28000,20190225
윤성우의 열혈 <b>파이썬</b> 기초편,오렌지미디어,16000,20181120
"모두의 <b>파이썬</b> X 알고리즘 (합본호,누구나 쉽게 배우는 프로그래밍 기초)",길벗,26000,20181210
<b>파이썬</b>으로 만드는 OpenCV 프로젝트 (간단한 영상 입출력부터 머신러닝까지),인사이트,36000,20190328
모두의 알고리즘 with <b>파이썬</b> (컴퓨팅 사고를 위한 기초 알고리즘),길벗,16000,20170518
<b>파이썬</b>을 활용한 딥러닝 전이학습 (Transfer Learning으로 빠르고 손쉽게 구축하는 고급 딥러닝 모델),위키북스,30000,20191011
Hello Coding 한입에 쏙 <b>파이썬</b> (크리에이터 김왼손의 쉽고 빠른 <b>파이썬</b> 강의),한빛미디어,15000,20180620
"<b>파이썬</b>과 리액트를 활용한 주식 자동 거래 시스템 구축(프로그래밍&프랙티스 시리즈 22) (데이터 수집부터 거래 자동화, API 서버, 웹 개발,)",위키북스,28000,20200212
모두의 <b>파이썬</b> (20일 만에 배우는 프로그래밍 기초),길벗,12000,20160509
<b>파이썬</b> 프로그래밍 (데이터 과학을 위한),한빛아카데미,25000,20190101
"<b>파이썬</b> 철저 입문 (데이터 분석을 위한,기초 문법부터 실무에 필요한 데이터 분석 기술까지 한 번에 배우는)",위키북스,28000,20190425
"처음 시작하는 <b>파이썬</b> (<b>파이썬</b> 패키지를 활용한 모던 컴퓨팅 입문, <b>파이썬</b> 3 버전 기준)",한빛미디어,30000,20151210
<b>파이썬</b> 머신러닝 완벽 가이드 (다양한 캐글 예제와 함께 기초 알고리즘부터 최신 기법까지 배우는),위키북스,38000,20200207
"<b>파이썬</b> 데이터 분석 입문 (엑셀 및 CSV 파일 처리부터 데이터베이스, 시각화, 통계분석, 자동화까지)",한빛미디어,27000,20171025
바이오<b>파이썬</b>으로 만나는 생물정보학 (<b>파이썬</b> 프로그래밍을 통해 풀어보는 생명의 구조),비제이퍼블릭,26000,20190322
<b>파이썬</b>에 참 좋은 PyCharm (나에게 가장 필요한 <b>파이썬</b> 개발 환경 구축하기),비제이퍼블릭,23000,20191031
깔끔한 <b>파이썬</b> 탄탄한 백엔드 (지금까지 없었던 백엔드 개발자를 위한 <b>파이썬</b>),비제이퍼블릭,27000,20190125
블록과 함께 하는 <b>파이썬</b> 딥러닝 케라스,디지털북스,25000,20170930
모두의 라즈베리파이 with <b>파이썬</b> (누구나 쉽게 배우는 전자 회로 공작과 <b>파이썬</b> 프로그래밍),길벗,26000,20190120
<b>파이썬</b> GUI 프로그래밍 쿡북 (<b>파이썬</b> 3로 쉽고 빠르게 GUI 개발하기),에이콘출판,35000,20180426
한권으로 <b>파이썬</b> 데이터 사이언스 입문 A to Z,잇플,29000,20200102
<b>파이썬</b>과 수치 해석 (<b>파이썬</b> 수치 해석 레시피),에이콘출판,50000,20190830
잡아라! 텍스트 마이닝 with <b>파이썬</b> (지금 바로 할 수 있는 데이터 추출과 분석),비제이퍼블릭,17000,20190430
배프의 오지랖 <b>파이썬</b> 웹프로그래밍 (Django로 쉽게 배우는),디지털북스,22000,20190305
"<b>파이썬</b>을 이용한 머신러닝, 딥러닝 실전 앱 개발 (실무에서 즉시 활용 가능한 머신러닝, 딥러닝 실전 앱 개발)",위키북스,27000,20190328
이것이 데이터 분석이다 with <b>파이썬</b> (<b>파이썬</b>으로 배우는 데이터 분석 입문),한빛미디어,28000,20200210
<b>파이썬</b> 코딩 수학 with 딥러닝 (수학적 사고력 향상을 위한),정보문화사,15000,20190710
한권으로 개발자가 원하던 <b>파이썬</b> 심화 A to Z (실무를 위해 반드시 알아야 할),잇플,32000,20191125
"<b>파이썬</b> 데이터 사이언스 핸드북 (IPython, Jupyter, NumPy, Pandas, Matplotlib, Scikit-Learn)",위키북스,38000,20170929
초보자를 위한 <b>파이썬</b> 200제 (Python),정보문화사,20000,20170227
"<b>파이썬</b>으로 데이터 마이닝 시작하기 (데이터의 수집, 로딩, 변환, 클러스터링, 예측까지)",에이콘출판,21000,20191219
<b>파이썬</b>과 NumPy로 배우는 선형대수 (<b>파이썬</b> 라이브러리로 쉽게 구현하는 수치해석 프로그래밍),비제이퍼블릭,26000,20190930
바로 쓰는 <b>파이썬</b> 기초 편,서울대학교출판문화원,25000,20190228
"전문가를 위한 <b>파이썬</b> (간단하고, 명료하고, 효율적인 <b>파이썬</b> 프로그래밍,<b>파이썬</b>3 버전 기준)",한빛미디어,55000,20160812
"고전 컴퓨터 알고리즘 인 <b>파이썬</b> (피보나치 수열부터 보드게임까지, 알고리즘으로 풀어보는 고전 문제 43선)",한빛미디어,25000,20191201
두근두근 <b>파이썬</b> (쉽고! 재밌고! 흥미로운 코딩 맛!),생능출판사,24000,20170116
<b>파이썬</b>을 활용한 비지도 학습 (비구조 데이터로부터 숨겨진 패턴과 관계 찾기),에이콘출판,35000,20191129
"<b>파이썬</b> 코딩의 기술 (Effective Python,똑똑하게 코딩하는 법)",길벗,24000,20160331
"<b>파이썬</b>으로 배우는 블록체인 구조와 이론 (비트코인, 암호학, 전자지갑, 트랜잭션, 채굴의 원리와 구현)",위키북스,27000,20190502
<b>파이썬</b> 디자인 패턴 (디자인 패턴을 사용해 소프트웨어 설계 문제 해결하기),에이콘출판,15000,20190102
<b>파이썬</b>을 활용한 금융공학 레시피 (문과생의 코딩 울렁증과 이과생의 금융 울렁증을 한 방에 씻어줄 금융공학 사이다),한빛미디어,28000,20180601
<b>파이썬</b>과 OpenCV를 이용한 컴퓨터 비전 학습 (컴퓨터 비전 애플리케이션을 만들기 위한 강력한 OpenCV 3와 <b>파이썬</b> 활용하기),에이콘출판,35000,20190102
<b>파이썬</b>과 함께 하는 수학 어드벤처 (<b>파이썬</b>과 프로세싱으로 수학 개념 이해하기),에이콘출판,30000,20200115
필수 알고리즘 with <b>파이썬</b> (핵심 개념과 실전 문제로 마스터하는),영진닷컴,16000,20181024
프로그래머를 위한 베이지안 with <b>파이썬</b> (<b>파이썬</b>과 PyMC로 구현하며 익히는 베이지안 방법론),길벗,27000,20171130
<b>파이썬</b> Jupyter Notebook 실전 입문,터닝포인트,25000,20180601
<b>파이썬</b>으로 텍스트 분석하기 (전략커뮤니케이션을 위한 <b>파이썬</b> 텍스트 마이닝),늘봄,18000,20190820
퍼즐로 배우는 알고리즘 with <b>파이썬</b> (21가지 퍼즐을 풀면서 배우는 알고리즘과 프로그래밍의 원리),영진닷컴,20000,20190920
모두의 데이터 과학 with <b>파이썬</b> (수집 정리 탐구 예측 가치로 배우는 기초 데이터 과학),길벗,22000,20170714
<b>파이썬</b> 프로그래밍으로 지루한 작업 자동화하기,스포트라잇북,30000,20170222
<b>파이썬</b> for Beginner (쉽고 빠르게 익히는 프로그래밍의 기본 원리),한빛아카데미,23000,20200106
자연어 처리 쿡북 with <b>파이썬</b> (<b>파이썬</b>으로 NLP를 구현하는 60여 가지 레시피),에이콘출판,30000,20190131
창의적 문제 해결을 위한 <b>파이썬</b> 프로그래밍,연두에디션,23000,20200210
"<b>파이썬</b>으로 배우는 머신러닝의 교과서 (그림으로 이해하고 코드로 확인하는 머신러닝, 딥러닝 기초)",한빛미디어,29000,20181101
<b>파이썬</b>으로 배우는 영상처리,홍릉과학출판사,33000,20200120
핵심만 쏙쏙 <b>파이썬</b>,연두에디션,19000,20200210
"<b>파이썬</b>을 이용한 컴퓨터 과학 입문 (이공계를 위한 프로그래밍, 자료구조, 알고리즘)",길벗,48000,20191230
스타트 <b>파이썬</b>,코딩스쿨,19000,20180901
<b>파이썬</b> 네트워킹 마스터,에이콘출판,35000,20191031
<b>파이썬</b>이 보이는 그림책 (국내 최초 그림으로 배우는 프로그래밍 입문서),성안당,17000,20180724
컴퓨팅 사고와 함께하는 <b>파이썬</b> 기초부터 인공지능 응용까지,연두에디션,24000,20191220
"모던 <b>파이썬</b> 입문 (프로그래밍, 시작은 <b>파이썬</b>이다!)",길벗,26000,20191007
<b>파이썬</b> 정복 (<b>파이썬</b> 개발에 필요한 기본 지식을 모두 담은 <b>파이썬</b> 입문서),한빛미디어,22000,20180402
<b>파이썬</b>을 활용한 생명정보학,에이콘출판,36000,20191230
마인크래프트로 배우는 <b>파이썬</b> 프로그래밍,제이펍,25000,20160810
<b>파이썬</b> (컴퓨팅 사고력을 키우는 SW 교육),한빛아카데미,22000,20160720
<b>파이썬</b>을 활용한 크롤러 개발과 스크레이핑 입문 (크롤러 설계와 개발부터 수집 데이터 분석과 운용까지),위키북스,30000,20190724
<b>파이썬</b> 프로그래밍 교과서,길벗,23000,20190430
이젠 나도! <b>파이썬</b> (지금 시작해도 괜찮아),성안당,25000,20191004
마인크래프트와 함께 즐겁게 <b>파이썬</b> (게임으로 재미있게 배우는 코딩과 알고리즘),비제이퍼블릭,26000,20181130
"<b>파이썬</b>과 케라스를 이용한 딥러닝/강화학습 주식투자 (퀀트 투자, 알고리즘 트레이딩을 위한 최첨단 해법 입문)",위키북스,25000,20180529
깐깐하게 배우는 <b>파이썬</b> 3 (기본기를 다져주는 단계별 학습법),인사이트,22000,20190122
